transcriptID_trim,log2FoldChange
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i4,-2.88222582052895
TRINITY_DN3311_c0_g1::TRINITY_DN3311_c0_g1_i2,-1.42817152089583
TRINITY_DN3478_c0_g1::TRINITY_DN3478_c0_g1_i3,-1.53814773724629
TRINITY_DN3478_c0_g1::TRINITY_DN3478_c0_g1_i9,-1.72913888566028
TRINITY_DN709_c0_g1::TRINITY_DN709_c0_g1_i12,-3.27547464775787
TRINITY_DN12545_c0_g1::TRINITY_DN12545_c0_g1_i1,-1.03094728802946
TRINITY_DN134_c0_g1::TRINITY_DN134_c0_g1_i6,2.42036589126698
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,2.16701896533571
TRINITY_DN1670_c0_g1::TRINITY_DN1670_c0_g1_i6,2.62526079248549
TRINITY_DN159_c0_g2::TRINITY_DN159_c0_g2_i3,1.91516161403349
TRINITY_DN1446_c0_g1::TRINITY_DN1446_c0_g1_i21,2.90017771783289
TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i11,2.71966419943206
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i3,-2.24135122251093
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i1,-2.24135122251093
TRINITY_DN44982_c0_g1::TRINITY_DN44982_c0_g1_i2,1.64327570200879
TRINITY_DN30_c0_g3::TRINITY_DN30_c0_g3_i1,1.29331943076463
TRINITY_DN13966_c0_g1::TRINITY_DN13966_c0_g1_i1,1.67491906811458
TRINITY_DN134_c0_g1::TRINITY_DN134_c0_g1_i12,2.78472768481076
TRINITY_DN2752_c0_g1::TRINITY_DN2752_c0_g1_i19,-1.42711456331812
TRINITY_DN2752_c0_g1::TRINITY_DN2752_c0_g1_i10,-1.42711456331812
TRINITY_DN9365_c0_g1::TRINITY_DN9365_c0_g1_i1,2.03137488809523
TRINITY_DN7169_c0_g1::TRINITY_DN7169_c0_g1_i1,-1.38229971872855
TRINITY_DN210_c0_g3::TRINITY_DN210_c0_g3_i1,2.09294613043064
TRINITY_DN9079_c0_g1::TRINITY_DN9079_c0_g1_i2,1.49537316668202
TRINITY_DN21_c1_g1::TRINITY_DN21_c1_g1_i1,2.42164829937497
TRINITY_DN221_c8_g1::TRINITY_DN221_c8_g1_i4,-1.24722884923267
TRINITY_DN16_c0_g1::TRINITY_DN16_c0_g1_i1,1.26021581209734
